#FactTable
ID,D1,D2,Fact1,Fact2
3674,B,Z,20,898
3675,C,Z,74,586
3676,C,X,82,312
3677,B,X,44,837
3678,C,X,17,424
3679,B,Y,90,98
3680,A,Z,19,137
3681,C,Y,55,647
3682,A,X,7,369
3683,B,X,60,905
3684,A,Y,78,298
3685,C,Y,1,618
3686,A,Y,33,942
3687,C,X,63,600
3688,A,Z,57,321
3689,C,Y,54,8
3690,B,Y,38,401
3691,A,X,87,654
3692,A,Y,40,590
3693,A,Y,5,429
3694,C,Y,67,867
3695,A,X,10,150
3696,A,X,77,432
3697,C,X,93,289
3698,C,X,38,230
3699,A,Y,68,476
3700,A,Y,83,889
3701,C,Z,20,842
3702,A,Y,94,282
3703,A,Y,66,892
3704,B,X,49,207
3705,B,Z,10,180
3706,A,Y,80,196
3707,B,X,77,334
3708,B,X,66,629
3709,C,X,43,915
3710,A,Y,52,141
3711,A,Z,21,490
3712,B,Y,17,34
3713,B,X,7,552
3714,A,Y,81,704
3715,C,Z,81,571
3716,A,Z,43,274
3717,C,Z,98,630
3718,A,Z,7,926
3719,A,Y,27,763
3720,C,X,89,66
3721,C,Y,59,969
3722,C,Y,91,607
3723,C,Z,90,426
3724,C,X,18,86
3725,C,Y,68,290
3726,C,Z,59,858
3727,B,Z,50,359
3728,A,Y,31,823
3729,C,Y,12,627
3730,B,X,21,922
3731,A,X,38,641
3732,A,Y,59,517
3733,A,X,18,562
3734,B,Z,88,52
3735,B,Y,91,744
3736,A,Z,8,971
3737,B,Y,65,666
3738,B,X,14,930
3739,C,X,77,261
3740,B,Z,45,667
3741,A,X,22,307
3742,A,Z,25,432
3743,B,Y,46,350
3744,B,X,69,683
3745,A,X,61,461
3746,A,X,37,441
3747,B,Z,42,516
3748,B,X,59,168
3749,C,Y,27,927
3750,A,X,34,87
3751,B,Y,76,267
3752,B,Z,55,930
3753,B,X,17,273
3754,A,X,76,322
3755,C,Z,8,295
3756,B,X,94,366
3757,C,Y,12,784
3758,A,Y,33,126
3759,C,X,57,547
3760,C,Z,61,217
3761,C,X,1,977
3762,A,Y,25,713
3763,A,Z,48,963
3764,B,X,95,555
3765,B,Z,77,335
3766,B,X,93,747
3767,C,Z,59,520
3768,C,Z,96,185
3769,C,Y,4,939
3770,A,X,75,254
3771,B,Y,73,854
3772,A,Z,29,710
3773,C,Z,90,514
3774,B,X,76,742
3775,A,X,59,75
3776,B,Z,69,545
3777,B,X,94,585
3778,B,X,28,263
3779,C,X,17,874
3780,C,Y,39,10
3781,B,Y,8,51
3782,C,X,27,304
3783,A,Z,50,158
3784,A,X,92,205
3785,A,Z,59,787
3786,C,Z,50,156
3787,B,Y,93,917
3788,A,Z,80,581
3789,A,Z,83,749
3790,C,Z,31,255
3791,C,Y,52,396
3792,C,Z,84,81
3793,B,X,97,362
3794,B,Y,58,40
3795,C,X,28,645
3796,A,Y,73,50
3797,C,Y,5,688
3798,A,Z,28,871
3799,C,Y,40,464
3800,B,X,66,93
3801,A,Z,18,982
3802,B,X,74,727
3803,A,Z,54,904
3804,A,X,99,228
3805,C,Z,87,466
3806,A,Y,65,390
3807,C,Y,93,188
3808,B,Y,97,954
3809,C,Y,36,529
3810,B,Y,35,537
3811,B,Z,80,930
3812,C,X,50,723
3813,A,X,89,141
3814,B,Y,93,593
3815,A,Y,7,960
3816,B,Y,17,778
3817,B,X,73,547
3818,B,Y,82,824
3819,C,X,58,865
3820,C,Z,35,218
3821,B,X,67,154
3822,C,Y,9,571
3823,C,Z,76,160
3824,B,X,49,677
3825,B,Y,57,96
3826,C,Y,72,973
3827,C,X,90,13
3828,B,X,56,339
3829,C,Y,85,243
3830,B,Z,39,936
3831,A,Z,49,843
3832,B,Y,88,583
3833,B,Z,99,189
3834,B,Y,2,410
3835,A,Z,88,123
3836,B,X,59,776
3837,B,Z,5,777
3838,B,Y,42,512
3839,A,Y,14,177
3840,A,X,45,806
3841,C,X,15,174
3842,A,X,99,386
3843,B,X,33,507
3844,B,Z,49,123
3845,C,X,57,836
3846,C,X,98,712
3847,B,X,17,536
3848,C,X,3,612
3849,A,Y,71,600
3850,B,Z,21,131
3851,B,X,40,722
3852,A,Y,39,16
3853,B,Z,3,639
3854,B,Z,51,362
3855,A,X,10,143
3856,C,X,91,332
3857,B,Z,63,236
3858,A,Y,40,485
3859,A,X,20,786
3860,C,X,77,438
3861,C,Z,2,743
3862,B,X,25,801
3863,A,Y,92,312
3864,B,X,65,574
3865,A,Z,11,806
3866,A,X,36,261
3867,B,Z,68,272
3868,B,X,26,839
3869,A,X,28,327
3870,A,Y,55,629
3871,B,Z,90,570
3872,C,Z,12,343
3873,A,X,81,786
3874,C,X,87,593
3875,B,X,64,68
3876,C,Z,9,577
3877,C,X,99,479
3878,A,X,21,416
3879,A,Y,57,876
3880,C,Z,65,800
3881,A,X,94,788
3882,C,Z,60,846
3883,C,X,96,501
3884,B,Z,28,127
3885,C,Z,39,174
3886,B,X,76,351
3887,A,Z,47,452
3888,C,Z,9,311
3889,B,Y,41,987
3890,B,Z,35,838
3891,B,Y,9,55
3892,C,X,52,823
3893,A,X,30,833
3894,C,X,62,124
3895,A,Z,88,77
3896,B,Z,93,46
3897,C,Z,37,689
3898,B,X,48,262
3899,A,Y,86,654
3900,B,Y,24,238
3901,B,Y,31,352
3902,A,X,38,588
3903,A,Y,26,45
3904,B,Y,45,97
3905,A,Y,5,976
3906,C,X,21,673
3907,C,Z,93,296
3908,A,Y,26,692
3909,C,Y,69,308
3910,B,Z,80,700
3911,A,Z,3,477
3912,C,X,72,627
3913,A,Z,49,880
3914,C,X,67,801
3915,A,Y,96,583
3916,B,Y,27,523
3917,B,X,64,732
3918,A,X,7,469
3919,C,Y,3,989
3920,C,Z,90,105
3921,A,Y,60,107
3922,C,X,16,205
3923,C,Y,28,430
3924,A,Z,28,73
3925,C,Z,93,387
3926,B,X,90,733
3927,C,Z,65,46
3928,A,Y,39,553
3929,A,X,60,301
3930,A,Z,12,494
3931,B,X,22,493
3932,C,Z,7,146
3933,A,X,48,203
3934,A,Z,26,519
3935,A,X,20,387
3936,C,X,51,345
3937,C,Z,4,287
3938,C,X,97,413
3939,C,Z,19,447
3940,C,X,30,873
3941,C,Z,65,220
3942,A,X,13,471
3943,B,Z,45,653
3944,A,Z,57,453
3945,B,Y,76,788
3946,A,Y,4,602
3947,A,X,46,435
3948,B,X,58,536
3949,A,Y,30,98
3950,B,Z,27,43
3951,B,X,9,620
3952,B,Z,66,430
3953,A,Z,66,15
3954,C,X,71,604
3955,A,X,89,853
3956,A,Z,57,401
3957,B,Z,80,934
3958,B,X,75,412
3959,C,X,19,728
3960,B,Z,87,882
3961,C,Z,42,153
3962,A,Z,74,630
3963,B,X,72,520
3964,A,Z,66,404
3965,C,X,70,114
3966,C,Y,10,608
3967,C,Z,6,307
3968,A,Z,48,836
3969,C,X,53,303
3970,C,X,64,679
3971,A,Y,47,187
3972,A,X,84,493
3973,C,Y,44,818
3974,B,Z,93,505
3975,C,Z,41,69
3976,B,X,83,577
3977,A,X,76,355
3978,A,Y,71,112
3979,A,X,51,676
3980,A,Z,20,621
3981,A,Z,74,307
3982,A,X,52,848
3983,A,Z,60,459
3984,B,Z,98,601
3985,C,Z,21,577
3986,C,Z,99,861
3987,A,X,77,808
3988,A,X,62,943
3989,A,X,74,892
3990,C,Y,93,160
3991,B,Z,68,169
3992,B,X,81,784
3993,B,Z,47,711
3994,C,Z,14,52
3995,B,X,49,449
3996,A,X,54,372
3997,A,X,64,691
3998,C,X,47,852
3999,B,Y,54,424
4000,C,X,84,236
4001,C,Y,34,460
4002,B,Y,17,981
4003,B,Z,41,572
4004,A,Y,3,339
4005,B,Z,62,149
4006,B,Y,16,309
4007,A,X,81,117
4008,A,Z,54,345
4009,A,Z,12,499
4010,A,X,6,804
4011,B,Z,64,778
4012,C,Y,85,25
4013,C,Z,80,455
4014,C,Z,62,277
4015,A,Z,14,799
4016,B,Y,28,672
4017,C,Y,23,393
4018,B,X,87,208
4019,B,Y,72,180
4020,A,Y,43,827
4021,A,X,24,314
4022,B,Z,89,731
4023,B,Y,98,406
4024,B,Z,87,643
4025,B,X,5,848
4026,B,Y,38,385
4027,B,Z,34,30
4028,A,X,46,406
4029,B,Y,41,813
4030,B,Y,37,302
4031,C,Y,22,965
4032,C,Y,93,649
4033,C,X,41,224
4034,A,Y,61,675
4035,B,Z,91,174
4036,A,Y,6,53
4037,B,Y,82,596
4038,A,Z,76,338
4039,A,Y,6,695
4040,A,X,88,786
4041,A,Y,48,958
4042,C,X,30,292
4043,A,X,2,793
4044,A,Y,53,930
4045,B,Y,26,512
4046,B,Y,56,132
4047,C,X,37,973
4048,A,Z,88,217
4049,B,X,91,805
4050,A,Y,3,298
4051,A,Y,26,148
4052,A,Z,77,261
4053,B,X,59,489
4054,B,Y,53,696
4055,A,X,53,635
4056,A,Z,23,643
4057,A,Z,76,455
4058,B,X,98,597
4059,A,X,56,491
4060,C,Z,22,647
4061,A,X,59,128
4062,C,X,34,665
4063,B,X,56,624
4064,A,Z,59,589
4065,B,Y,89,972
4066,C,Y,35,466
4067,B,X,9,32
4068,B,Z,63,101
4069,B,X,9,213
4070,A,Y,39,649
4071,B,Y,97,647
4072,C,X,78,582
4073,A,X,36,387
4074,C,X,31,493
4075,C,Y,74,145
4076,A,Z,21,114
4077,B,Y,81,13
4078,B,Z,16,552
4079,B,Z,89,391
4080,B,X,52,982
4081,B,Z,94,171
4082,C,Y,81,88
4083,C,Y,11,32
4084,A,X,69,632
4085,B,Z,21,147
4086,B,Y,89,697
4087,B,Y,88,98
4088,C,X,46,123
4089,A,X,30,161
4090,B,Z,44,678
4091,A,Z,52,829
4092,C,X,22,510
4093,B,X,75,872
4094,C,Z,3,890
4095,B,Z,70,410
4096,A,X,73,864
4097,B,X,23,230
4098,B,Y,99,602
4099,C,X,46,992
4100,A,Y,97,173
4101,A,X,44,780
4102,B,X,68,247
4103,C,X,31,629
4104,B,X,43,641
4105,C,Y,45,355
4106,B,Z,34,475
4107,B,Z,48,983
4108,C,Z,50,270
4109,B,Y,34,509
4110,A,X,41,729
4111,A,Z,10,515
4112,C,X,2,899
4113,C,X,48,116
4114,B,Y,21,637
4115,B,Y,7,157
4116,A,Y,76,558
4117,C,Z,36,335
4118,C,X,37,320
4119,A,Z,2,720
4120,C,X,44,156
4121,B,Z,70,67
4122,C,X,63,441
4123,C,X,84,82
4124,B,X,92,561
4125,B,Z,3,137
4126,A,Z,26,476
4127,A,Z,66,320
4128,A,Z,66,633
4129,C,Z,14,991
4130,B,Y,77,774
4131,C,Z,56,574
4132,B,Y,12,668
4133,B,X,20,505
4134,C,Y,84,42
4135,C,Z,1,147
4136,C,X,50,146
4137,B,Z,44,705
4138,B,X,17,965
4139,C,Y,34,98
4140,B,Z,84,103
4141,B,X,26,362
4142,C,Z,68,909
4143,B,X,67,995
4144,A,X,7,891
4145,C,Y,52,727
4146,A,Z,74,155
4147,A,Y,1,269
4148,A,X,80,206
4149,A,X,71,250
4150,A,X,31,353
4151,A,Z,20,884
4152,C,X,19,321
4153,C,Y,66,792
4154,B,Y,86,220
4155,C,Z,31,269
4156,A,X,35,975
4157,C,X,18,285
4158,A,X,1,53
4159,A,Y,86,196
4160,C,Z,30,154
4161,A,Y,51,891
4162,A,X,1,840
4163,A,Z,30,321
4164,A,Y,1,342
4165,A,X,62,753
4166,C,Z,79,11
4167,A,Y,53,969
4168,C,X,87,117
4169,C,Z,21,108
4170,C,Y,49,916
4171,C,X,30,139
4172,C,Z,15,162
4173,A,X,51,766
4174,C,X,85,525
4175,C,Z,24,381
4176,B,X,36,541
4177,C,Z,77,926
4178,C,Z,44,321
4179,B,Z,54,224
4180,C,Y,30,437
4181,A,X,3,935
4182,C,X,50,311
4183,B,X,71,777
4184,C,Z,57,748
4185,A,Z,50,662
4186,C,Z,62,494
4187,A,Y,46,865
4188,A,Y,52,920
4189,B,X,31,601
4190,B,X,52,382
4191,A,Z,39,123
4192,C,X,5,647
4193,B,Z,34,911
4194,B,X,29,294
4195,A,Z,63,464
4196,B,X,89,476
4197,C,Y,42,257
4198,B,X,56,838
4199,C,X,68,669
4200,A,Y,18,848
4201,A,Y,46,422
4202,B,X,6,834
4203,B,Y,98,462
4204,A,Y,75,175
4205,B,Y,1,82
4206,B,Z,34,123
4207,C,Z,83,547
4208,B,Y,67,24
4209,A,Z,4,828
4210,A,Y,20,102
4211,A,X,92,183
4212,C,X,19,565
4213,B,X,41,916
4214,C,X,92,880
4215,A,X,59,208
4216,A,Y,5,345
4217,A,Y,13,651
4218,A,X,18,121
4219,C,Y,22,722
4220,A,X,52,847
4221,C,Z,95,272
4222,B,Y,11,232
4223,B,X,58,753
4224,B,X,42,945
4225,C,Y,61,442
4226,B,X,21,992
4227,B,Y,86,210
4228,A,Z,73,439
4229,A,Y,51,709
4230,C,Y,18,171
4231,C,Z,6,427
4232,B,Z,15,656
4233,A,Z,37,941
4234,A,X,82,842
4235,B,Z,24,420
4236,B,Y,56,499
4237,B,X,23,405
4238,C,X,94,376
4239,C,Z,18,117
4240,A,Z,84,797
4241,A,Z,8,774
4242,A,X,2,777
4243,C,Z,48,265
4244,A,Z,87,215
4245,A,Z,10,315
4246,A,Z,9,892
4247,C,Z,84,216
4248,C,X,64,678
4249,B,X,26,957
4250,A,Y,52,633
4251,C,Y,86,818
4252,A,Y,27,897
4253,C,X,12,218
4254,B,Z,15,524
4255,C,Z,30,167
4256,C,Z,51,244
4257,A,Y,45,703
4258,A,X,83,837
4259,A,Y,95,678
4260,C,Y,98,493
4261,A,Y,21,104
4262,A,Z,35,532
4263,B,Z,35,243
4264,A,Z,31,390
4265,A,Y,48,182
4266,C,Y,62,9
4267,B,X,86,542
4268,A,Z,6,315
4269,A,Y,72,502
4270,C,X,65,986
4271,A,Y,98,192
4272,A,Y,45,929
4273,A,Y,9,287
4274,B,X,69,329
4275,B,X,42,769
4276,B,X,22,183
4277,A,Z,19,917
4278,C,X,98,495
4279,C,Z,36,539
4280,A,Y,24,389
4281,C,Z,96,841
4282,C,X,86,53
4283,C,Z,43,268
4284,B,X,46,372
4285,C,Y,81,229
4286,B,X,61,863
4287,A,X,89,361
4288,A,Z,95,426
4289,C,X,56,478
4290,B,X,77,488
4291,B,Z,51,731
4292,A,Z,69,849
4293,B,X,26,630
4294,A,X,24,405
4295,C,Z,14,592
4296,B,Y,5,332
4297,A,Z,92,733
4298,B,Z,49,948
4299,A,X,55,972
4300,C,Z,48,653
4301,B,Z,43,56
4302,B,Y,52,101
4303,B,X,51,831
4304,B,X,64,353
4305,A,Y,54,780
4306,C,Z,74,884
4307,C,Y,25,835
4308,A,Z,45,872
4309,C,Z,40,202
4310,B,Y,72,301
4311,C,X,40,11
4312,B,X,3,726
4313,B,Z,23,886
4314,B,X,20,420
4315,B,Y,86,373
4316,A,Y,85,269
4317,C,Y,81,654
4318,B,Y,16,632
4319,B,Y,99,128
4320,A,X,67,888
4321,C,Z,77,764
4322,A,Y,59,367
4323,B,Z,24,304
4324,B,Z,13,426
4325,C,Y,36,116
4326,A,Z,63,786
4327,C,X,77,676
4328,B,Z,36,807
4329,A,Z,43,188
4330,B,Y,60,676
4331,C,X,92,611
4332,B,Y,36,222
4333,A,Y,58,40
4334,B,X,85,946
4335,C,Y,51,441
4336,B,Z,43,94
4337,B,X,48,86
4338,C,X,93,651
4339,C,Y,74,76
4340,B,X,45,614
4341,C,Y,29,117
4342,A,Z,44,621
4343,B,Y,59,584
4344,C,Y,94,382
4345,B,X,45,790
4346,A,X,87,521
4347,A,Y,93,596
4348,C,Z,45,527
4349,B,Y,52,939
4350,A,Z,29,280
4351,A,Y,36,502
4352,B,X,7,285
4353,A,Z,42,539
4354,A,Y,39,219
4355,A,Z,45,716
4356,A,Z,52,503
4357,A,Y,37,997
4358,C,Z,1,17
4359,A,Y,65,572
4360,A,Y,58,177
4361,B,Z,16,175
4362,B,Y,5,667
4363,C,X,48,129
4364,C,Z,59,252
4365,A,X,95,689
4366,B,X,32,700
4367,A,X,20,173
4368,B,X,51,549
4369,C,X,98,291
4370,A,X,84,159
4371,A,Y,22,888
4372,C,Y,95,475
4373,B,Z,94,167
4374,C,X,91,694
4375,A,Y,97,280
4376,B,X,81,840
4377,A,Z,16,841
4378,C,Y,16,278
4379,B,Y,7,822
4380,A,Y,31,54
4381,B,X,60,588
4382,B,X,48,832
4383,B,Y,21,81
4384,B,X,94,95
4385,C,Z,22,671
4386,A,Y,61,735
4387,A,Y,32,955
4388,A,X,68,323
4389,C,X,4,905
4390,A,Z,5,944
4391,B,Y,21,348
4392,A,Z,62,30
4393,B,Z,67,719
4394,B,Y,12,819
4395,B,Z,13,694
4396,C,Y,38,301
4397,A,X,9,731
4398,C,Y,87,380
4399,B,X,44,249
4400,A,X,41,563
4401,C,X,56,742
4402,C,Z,13,496
4403,B,Z,91,701
4404,B,X,91,553
4405,B,Z,82,637
4406,A,Z,40,586
4407,C,Y,56,808
4408,B,Y,4,976
4409,C,X,6,509
4410,B,Y,24,822
4411,C,X,49,26
4412,B,Z,46,636
4413,C,Z,42,183
4414,A,X,43,882
4415,A,Z,52,747
4416,A,Y,47,860
4417,B,Y,54,960
4418,B,X,75,80
4419,C,Y,69,286
4420,C,Y,88,741
4421,A,Z,81,866
4422,B,X,62,329
4423,B,X,14,476
4424,B,Z,45,626
4425,B,X,48,359
4426,A,Z,4,323
4427,B,X,91,785
4428,B,X,35,390
4429,A,X,45,273
4430,A,Z,3,631
4431,C,Z,78,758
4432,A,Z,87,444
4433,C,Y,13,462
4434,A,X,10,63
4435,A,Y,81,119
4436,B,Y,4,721
4437,B,X,65,320
4438,A,Z,58,443
4439,B,X,13,473
4440,C,Y,35,199
4441,A,Z,61,904
4442,C,X,1,45
4443,A,X,22,311
4444,A,X,29,469
4445,A,X,66,666
4446,A,Z,27,703
4447,A,Z,65,600
4448,B,Z,86,696
4449,C,Z,23,849
4450,A,Z,35,923
4451,B,Z,98,679
4452,A,Y,90,122
4453,A,Y,72,981
4454,C,Z,12,442
4455,A,Z,86,611
4456,C,Z,87,141
4457,A,Y,8,889
4458,B,Z,34,437
4459,A,Z,28,563
4460,B,Y,58,122
4461,B,Z,72,800
4462,B,X,71,194
4463,B,Y,26,454
4464,A,Y,4,886
4465,A,Y,9,484
4466,B,Y,46,942
4467,B,Y,79,394
4468,C,Y,83,179
4469,A,Y,60,556
4470,C,Y,72,113
4471,B,Y,64,602
4472,C,Z,19,149
4473,C,X,20,300
4474,B,X,39,859
4475,C,X,31,442
4476,C,Z,15,213
4477,A,X,16,126
4478,B,Y,69,868
4479,A,Z,95,830
4480,A,Z,99,493
4481,B,Y,12,959
4482,C,Z,82,949
4483,B,Y,74,835
4484,B,Y,34,589
4485,B,Z,78,658
4486,B,Z,38,278
4487,C,Y,82,295
4488,A,X,37,484
4489,C,Y,30,126
4490,A,Y,51,513
4491,B,Y,44,332
4492,C,Z,25,208
4493,B,X,59,691
4494,B,Z,2,414
4495,B,X,56,604
4496,C,X,61,870
4497,B,Z,49,306
4498,A,X,44,645
4499,B,Z,51,955
4500,C,X,98,621
4501,C,Y,35,642
4502,B,Z,96,378
4503,A,Y,71,979
4504,B,Y,93,399
4505,C,Z,45,327
4506,B,Z,78,163
4507,B,Z,46,195
4508,C,Z,86,672
4509,C,Z,58,112
4510,C,Z,85,130
4511,C,X,83,314
4512,A,Z,64,185
4513,B,Z,88,141
4514,C,X,5,173
4515,C,Y,92,110
4516,B,Z,25,227
4517,A,Y,13,284
4518,C,X,30,466
4519,C,Y,93,245
4520,A,Y,23,740
4521,A,Z,74,893
4522,C,Y,19,208
4523,C,X,35,988
4524,C,Y,16,165
4525,B,Z,91,526
4526,C,Z,12,398
4527,A,Y,18,169
4528,A,X,29,345
4529,A,Z,46,460
4530,C,X,20,416
4531,C,Z,81,489
4532,A,Y,19,619
4533,B,X,89,281
4534,C,Z,6,791
4535,A,X,59,949
4536,B,X,82,310
4537,A,X,59,931
4538,C,Y,47,926
4539,B,Y,28,723
4540,B,Y,81,464
4541,C,X,86,203
4542,C,Y,95,551
4543,C,Z,61,459
4544,B,Y,2,591
4545,A,X,4,473
4546,A,Z,49,752
4547,A,Z,64,963
4548,C,Z,73,894
4549,C,X,93,885
4550,A,X,15,591
4551,C,X,81,368
4552,C,Y,10,124
4553,A,X,55,997
4554,A,Z,2,864
4555,C,X,86,250
4556,B,Z,8,219
4557,C,X,9,763
4558,B,Z,55,876
4559,B,Z,26,541
4560,B,Z,90,626
4561,B,Z,35,287
4562,B,Y,74,662
4563,C,Y,60,864
4564,A,Y,25,210
4565,B,X,26,384
4566,B,Z,62,919
4567,B,X,66,134
4568,C,Z,7,413
4569,A,Z,82,526
4570,B,Y,91,980
4571,B,Y,49,947
4572,C,X,76,322
4573,B,X,71,1
4574,A,Y,3,24
4575,A,Z,12,875
4576,B,Z,22,846
4577,C,X,77,930
4578,A,X,83,716
4579,C,X,45,204
4580,A,Y,63,442
4581,A,X,88,910
4582,B,Z,41,196
4583,A,Z,70,108
4584,B,Y,88,903
4585,A,Z,75,447
4586,A,Z,67,409
4587,A,Z,46,988
4588,B,X,9,500
4589,A,Z,59,182
4590,A,Z,95,478
4591,C,Z,80,338
4592,C,Y,63,527
4593,A,Z,55,496
4594,B,X,61,478
4595,C,Z,89,33
4596,B,Z,65,182
4597,A,X,52,6
4598,C,Y,98,13
4599,B,Z,86,78
4600,B,Y,47,16
4601,C,Z,49,291
4602,A,Z,49,716
4603,A,Y,40,240
4604,C,X,36,177
4605,B,Y,94,684
4606,C,Z,86,368
4607,C,Y,26,105
4608,C,Z,38,129
4609,A,Z,13,67
4610,A,Y,58,978
4611,B,Z,22,531
4612,C,Y,25,860
4613,C,X,24,286
4614,C,Z,35,622
4615,C,X,46,645
4616,A,Y,96,220
4617,A,Z,69,850
4618,B,X,64,80
4619,B,Y,98,886
4620,C,Z,71,399
4621,B,Y,32,678
4622,C,Y,27,501
4623,A,Z,57,129
4624,A,Y,85,710
4625,A,X,97,692
4626,B,Y,71,29
4627,C,Z,4,127
4628,B,Y,81,933
4629,C,Z,51,802
4630,B,X,64,958
4631,A,Y,89,379
4632,B,Z,7,181
4633,A,Z,31,990
4634,C,X,2,770
4635,A,Y,98,879
4636,B,X,57,986
4637,C,Y,7,302
4638,B,Z,25,444
4639,B,Z,33,684
4640,B,Z,72,531
4641,A,Z,3,601
4642,C,Y,75,646
4643,B,Z,50,964
4644,A,X,66,522
4645,B,X,99,955
4646,C,Y,67,330
4647,A,Y,96,379
4648,B,Y,31,111
4649,B,X,60,710
4650,A,X,35,519
4651,C,Z,47,3
4652,C,X,94,73
4653,C,Y,75,559
4654,A,X,62,33
4655,A,X,77,765
4656,B,X,26,30
4657,A,Y,85,615
4658,B,Z,55,23
4659,A,Z,9,209
4660,C,X,73,311
4661,C,Z,31,247
4662,A,Y,74,158
4663,A,Z,84,855
4664,C,X,16,402
4665,C,Z,85,444
4666,A,X,80,830
4667,C,Y,15,874
4668,A,Z,20,509
4669,A,Y,51,35
4670,A,Y,25,43
4671,A,Z,1,96
4672,A,Z,88,693
4673,A,X,41,845
4674,B,Y,53,163
4675,A,Y,27,215
4676,A,Z,92,468
4677,B,Z,43,835
4678,C,Z,37,984
4679,A,X,72,130
4680,A,Y,64,443
4681,B,Z,76,987
4682,C,Z,60,824
4683,A,Z,30,254
4684,A,Y,59,163
4685,B,X,86,86
4686,C,X,17,270
4687,C,X,71,184
4688,C,X,21,212
4689,C,Z,25,536
4690,B,X,36,550
4691,B,Z,81,286
4692,A,Z,43,627
4693,A,Y,25,962
4694,B,Y,48,903
4695,C,Y,28,762
4696,A,Z,6,67
4697,A,X,96,93
4698,C,Z,26,771
4699,A,Y,72,563
4700,B,Z,97,823
4701,B,Y,26,522
4702,A,Y,23,966
4703,B,Y,16,362
4704,A,Y,48,104
4705,A,Z,16,602
4706,B,Y,48,789
4707,B,X,43,477
4708,B,Y,51,993
4709,A,Y,89,823
4710,B,Y,14,749
4711,C,X,24,683
4712,A,Z,58,347
4713,A,Y,50,111
4714,C,Z,53,914
4715,C,X,83,708
4716,A,Z,18,576
4717,C,Y,9,539
4718,B,X,22,79
4719,B,Y,14,381
4720,A,Z,81,729
4721,A,X,38,97
4722,B,Z,57,221
4723,A,Y,78,574
4724,B,X,34,693
4725,C,Y,76,148
4726,C,Z,65,933
4727,C,Z,15,876
4728,A,Z,44,350
4729,C,X,25,519
4730,B,Z,92,361
4731,B,Y,21,611
4732,B,Z,31,545
4733,B,Z,15,740
4734,B,X,45,960
4735,C,Y,95,895
4736,B,X,17,605
4737,C,X,1,213
4738,B,X,49,406
4739,A,Z,44,876
4740,C,Z,5,400
4741,A,Z,69,669
4742,C,X,19,155
4743,C,Y,36,268
4744,A,Z,19,780
4745,B,Y,2,134
4746,B,X,60,121
4747,B,Z,34,272
4748,B,X,45,547
4749,C,Z,85,590
4750,B,X,92,844
4751,C,Y,42,632
4752,C,Y,76,329
4753,C,Z,33,875
4754,A,Y,40,362
4755,A,Y,8,538
4756,B,Z,54,20
4757,C,X,42,710
4758,B,Z,26,628
4759,A,Y,63,65
4760,A,Y,86,461
4761,A,X,55,650
4762,C,Y,42,129
4763,A,Z,33,568
4764,A,Z,10,803
4765,B,Y,42,773
4766,B,Z,72,241
4767,B,X,58,522
4768,B,Z,50,748
4769,A,X,80,842
4770,A,Y,33,818
4771,C,Z,56,879
4772,A,Z,89,907
4773,B,X,15,492
4774,C,X,85,232
4775,C,X,25,768
4776,A,Z,87,470
4777,A,Y,99,700
4778,C,Y,55,682
4779,C,X,96,297
4780,C,Z,3,881
4781,A,X,51,670
4782,B,X,57,701
4783,C,Y,12,479
4784,A,Y,52,878
4785,C,X,24,518
4786,A,Z,44,853
4787,A,X,60,659
4788,A,Z,57,150
4789,A,Z,4,120
4790,C,X,72,707
4791,B,X,10,532
4792,C,X,11,770
4793,C,Z,95,919
4794,B,X,2,625
4795,A,Z,21,810
4796,B,Z,83,779
4797,C,Z,46,917
4798,A,Z,38,703
4799,C,Y,24,584
4800,A,Z,63,113
4801,C,X,45,312
4802,A,X,58,603
4803,C,X,91,664
4804,A,Z,45,41
4805,B,X,70,619
4806,C,Z,46,612
4807,B,X,21,240
4808,A,Z,50,378
4809,A,Y,71,585
4810,B,Y,52,419
4811,A,Y,70,668
4812,A,Z,14,5
4813,A,Y,4,453
4814,B,Y,97,531
4815,C,Y,54,650
4816,C,X,29,233
4817,C,Z,50,904
4818,A,Z,25,947
4819,A,X,56,31
4820,B,Z,61,463
4821,B,X,63,341
4822,B,Z,60,190
4823,B,Z,46,254
4824,A,X,28,316
4825,B,Z,59,214
4826,B,Z,3,795
4827,B,X,46,758
4828,C,Z,98,100
4829,A,Y,20,200
4830,B,X,81,239
4831,A,Y,78,199
4832,B,Z,81,396
4833,C,Y,34,221
4834,C,Y,56,763
4835,A,Z,52,624
4836,B,Z,46,424
4837,C,X,7,840
4838,B,Z,93,672
4839,B,Y,65,498
4840,C,Z,31,636
4841,C,Z,54,444
4842,C,Y,46,80
4843,A,X,73,907
4844,A,X,69,413
4845,A,Y,74,117
4846,A,X,20,391
4847,C,Y,72,858
4848,C,X,38,795
4849,C,Z,86,55
4850,B,Z,54,274
4851,C,Y,19,488
4852,C,Z,36,13
4853,C,X,91,603
4854,C,X,42,356
4855,C,X,65,579
4856,A,X,3,766
4857,A,Z,96,68
4858,C,X,34,669
4859,B,X,71,452
4860,B,X,78,355
4861,B,Z,34,892
4862,B,X,64,951
4863,C,X,25,21
4864,B,Z,99,241
4865,A,X,85,258
4866,B,Z,17,616
4867,B,X,15,213
4868,B,Y,15,223
4869,B,X,85,417
4870,A,X,13,670
4871,B,X,21,16
4872,A,X,17,7
